Geographic area,City,share_white,share_black,share_native_american,share_asian,share_hispanic
AL,Priceville town,0.937,0.019,0.007,0.01,0.022
AL,Prichard city,0.125,0.858,0.004,0.001,0.008
AL,Providence town,0.812,0.13,0,0,0.031
AL,Putnam CDP,0.233,0.725,0.026,0,0
AL,Ragland town,0.828,0.154,0.001,0.001,0.003
AL,Rainbow City city,0.874,0.072,0.004,0.026,0.024
AL,Rainsville city,0.951,0.002,0.009,0.002,0.038
AL,Ranburne town,0.99,0,0.002,0,0.002
AL,Ray CDP,0.659,0.163,0.002,0.011,0.174
AL,Red Bay city,0.925,0.012,0.003,0.001,0.051
AL,Redland CDP,0.826,0.129,0.003,0.017,0.023
AL,Red Level town,0.908,0.09,0,0,0.008
AL,Redstone Arsenal CDP,0.691,0.208,0.012,0.017,0.107
AL,Reece City town,0.934,0.02,0.011,0.009,0.008
AL,Reeltown CDP,0.824,0.151,0.001,0.001,0.027
AL,Reform town,0.506,0.482,0.001,0,0.009
AL,Rehobeth town,0.959,0.015,0.008,0.002,0.025
AL,Repton town,0.539,0.436,0,0,0.004
AL,Ridgeville town,0.321,0.589,0,0.018,0.063
AL,River Falls town,0.608,0.35,0.008,0,0.015
AL,Riverside town,0.875,0.106,0.002,0.007,0.011
AL,Riverview town,0.995,0,0,0,0.016
AL,Roanoke city,0.576,0.405,0.002,0.006,0.012
AL,Robertsdale city,0.853,0.054,0.008,0.005,0.092
AL,Rock Creek CDP,0.975,0.008,0.007,0.001,0
AL,Rockford town,0.625,0.375,0,0,0.013
AL,Rock Mills CDP,0.973,0.015,0,0,0.018
AL,Rockville CDP,0.977,0.023,0,0,0.023
AL,Rogersville town,0.912,0.061,0.01,0.006,0.017
AL,Rosa town,0.956,0.003,0,0,0.044
AL,Russellville city,0.685,0.092,0.008,0.003,0.26
AL,Rutledge town,0.737,0.229,0,0.011,0.021
AL,St. Florian town,0.971,0.024,0,0,0.002
AL,St. Stephens CDP,0.63,0.36,0,0.004,0.006
AL,Saks CDP,0.757,0.194,0.004,0.008,0.034
AL,Samson city,0.733,0.179,0.011,0.004,0.083
AL,Sand Rock town,0.975,0,0.007,0,0.029
AL,Sanford town,0.971,0.004,0.004,0,0.012
AL,Saraland city,0.837,0.12,0.008,0.006,0.025
AL,Sardis City town,0.982,0.004,0.001,0.004,0.007
AL,Satsuma city,0.887,0.079,0.012,0.006,0.011
AL,Scottsboro city,0.898,0.046,0.008,0.008,0.035
AL,Section town,0.955,0,0.016,0.006,0.009
AL,Selma city,0.18,0.803,0.002,0.006,0.006
AL,Selmont-West Selmont CDP,0.045,0.939,0.001,0,0.015
AL,Sheffield city,0.697,0.268,0.003,0.003,0.023
AL,Shelby CDP,0.904,0.069,0.002,0.002,0.023
AL,Shiloh town,0.953,0.015,0.029,0,0.007
AL,Shoal Creek CDP,0.924,0.048,0.001,0.022,0.014
AL,Shorter town,0.188,0.795,0,0.006,0.011
AL,Silas town,0.71,0.29,0,0,0
AL,Silverhill town,0.943,0.017,0.001,0.003,0.057
AL,Sims Chapel CDP,0.712,0,0.248,0.007,0.02
AL,Sipsey town,0.641,0.332,0,0.005,0.009
AL,Skyline town,0.953,0,0.021,0,0.021
AL,Slocomb city,0.722,0.226,0.008,0.001,0.047
