Geographic Area,City,poverty_rate
AK,Kongiganak CDP,0.262
AK,Kotlik city,0.316
AK,Kotzebue city,0.163
AK,Koyuk city,0.489
AK,Koyukuk city,0.463
AK,Kupreanof city,0.05
AK,Kwethluk city,0.283
AK,Kwigillingok CDP,0.215
AK,Lake Louise CDP,0.467
AK,Lake Minchumina CDP,0.143
AK,Lakes CDP,0.073
AK,Larsen Bay city,0.131
AK,Lazy Mountain CDP,0.082
AK,Levelock CDP,0.202
AK,Lime Village CDP,0.857
AK,Livengood CDP,0
AK,Loring CDP,#VALUE!
AK,Lowell Point CDP,0.355
AK,Lower Kalskag city,0.352
AK,Lutak CDP,0
AK,McCarthy CDP,0
AK,McGrath city,0.168
AK,McKinley Park CDP,0.302
AK,Manley Hot Springs CDP,0.333
AK,Manokotak city,0.174
AK,Marshall city,0.203
AK,Meadow Lakes CDP,0.129
AK,Mekoryuk city,0.184
AK,Mendeltna CDP,0
AK,Mentasta Lake CDP,0.573
AK,Mertarvik CDP,#VALUE!
AK,Metlakatla CDP,0.12
AK,Minto CDP,0.191
AK,Moose Creek CDP,0.021
AK,Moose Pass CDP,0.149
AK,Mosquito Lake CDP,0.095
AK,Mountain Village city,0.29
AK,Mud Bay CDP,0
AK,Nabesna CDP,#VALUE!
AK,Naknek CDP,0.039
AK,Nanwalek CDP,0.605
AK,Napakiak city,0.531
AK,Napaskiak city,0.283
AK,Naukati Bay CDP,0.406
AK,Nelchina CDP,0.224
AK,Nelson Lagoon CDP,0.071
AK,Nenana city,0.153
AK,New Allakaket CDP,0.281
AK,Newhalen city,0.177
AK,New Stuyahok city,0.308
AK,Newtok CDP,0.423
AK,Nightmute city,0.266
AK,Nikiski CDP,0.083
AK,Nikolaevsk CDP,0.218
AK,Nikolai city,0.211
AK,Nikolski CDP,0.324
AK,Ninilchik CDP,0.108
AK,Noatak CDP,0.244
AK,Nome city,0.113
AK,Nondalton city,0.396
AK,Noorvik city,0.372
AK,North Pole city,0.075
AK,Northway CDP,0.214
AK,Northway Junction CDP,0.469
AK,Northway Village CDP,0.5
AK,Nuiqsut city,0.062
AK,Nulato city,0.276
AK,Nunam Iqua city,0.163
AK,Nunapitchuk city,0.439
AK,Old Harbor city,0.188
AK,Oscarville CDP,0.273
AK,Ouzinkie city,0.213
AK,Palmer city,0.115
AK,Paxson CDP,0
AK,Pedro Bay CDP,0.083
AK,Pelican city,0
AK,Perryville CDP,0.337
AK,Petersburg CDP,0.108
AK,Petersville CDP,#VALUE!
AK,Pilot Point city,0.358
AK,Pilot Station city,0.393
AK,Pitkas Point CDP,0.257
AK,Platinum city,0.405
AK,Pleasant Valley CDP,0.119
AK,Point Baker CDP,0.78
AK,Point Hope city,0.176
AK,Point Lay CDP,0.19
AK,Point MacKenzie CDP,0.09
AK,Point Possession CDP,#VALUE!
AK,Pope-Vannoy Landing CDP,#VALUE!
AK,Portage Creek CDP,#VALUE!
AK,Port Alexander city,0
AK,Port Alsworth CDP,0.021
AK,Port Clarence CDP,#VALUE!
AK,Port Graham CDP,0.282
AK,Port Heiden city,0
AK,Port Lions city,0.208
AK,Port Protection CDP,0.39
AK,Primrose CDP,0.082
AK,Prudhoe Bay CDP,0.039
AK,Quinhagak city,0.38
AK,Rampart CDP,0
AK,Red Devil CDP,0.318
AK,Red Dog Mine CDP,0
AK,Ridgeway CDP,0.096
AK,Ruby city,0.332
AK,Russian Mission city,0.333
AK,St. George city,0.113
AK,St. Mary's city,0.208
AK,St. Michael city,0.38
AK,St. Paul city,0.148
AK,Salamatof CDP,0.149
AK,Salcha CDP,0.098
AK,Sand Point city,0.182
AK,Savoonga city,0.484
AK,Saxman city,0.152
AK,Scammon Bay city,0.441
AK,Selawik city,0.299
AK,Seldovia city,0.095
AK,Seldovia Village CDP,0.109
AK,Seward city,0.084
AK,Shageluk city,0.256
AK,Shaktoolik city,0.233
AK,Shishmaref city,0.428
AK,Shungnak city,0.288
AK,Silver Springs CDP,0.077
AK,Sitka city and borough,0.09
AK,Skagway CDP,0.046
AK,Skwentna CDP,0.262
AK,Slana CDP,0.929
AK,Sleetmute CDP,0.337
AK,Soldotna city,0.052
AK,South Naknek CDP,0.127
AK,South Van Horn CDP,0.296
AK,Stebbins city,0.293
AK,Steele Creek CDP,0.031
AK,Sterling CDP,0.101
AK,Stevens Village CDP,0.72
AK,Stony River CDP,0.625
AK,Sunrise CDP,0
AK,Susitna CDP,#VALUE!
AK,Susitna North CDP,0.143
AK,Sutton-Alpine CDP,0.286
AK,Takotna CDP,0.327
AK,Talkeetna CDP,0.067
AK,Tanacross CDP,0.307
AK,Tanaina CDP,0.122
AK,Tanana city,0.042
AK,Tatitlek CDP,0.128
AK,Tazlina CDP,0.145
AK,Teller city,0.394
AK,Tenakee Springs city,0.02
AK,Tetlin CDP,0.381
AK,Thorne Bay city,0.134
AK,Togiak city,0.235
AK,Tok CDP,0.168
AK,Toksook Bay city,0.146
AK,Tolsona CDP,#VALUE!
AK,Tonsina CDP,0
AK,Trapper Creek CDP,0.218
AK,Tuluksak CDP,0.747
AK,Tuntutuliak CDP,0.42
AK,Tununak CDP,0.329
AK,Twin Hills CDP,0.295
AK,Two Rivers CDP,0
AK,Tyonek CDP,0.21
AK,Ugashik CDP,0
AK,Unalakleet city,0.149
AK,Unalaska city,0.076
AK,Upper Kalskag city,0.183
AK,Valdez city,0.094
AK,Venetie CDP,0.531
AK,Wainwright city,0.182
AK,Wales city,0.348
AK,Wasilla city,0.117
AK,Whale Pass CDP,0
AK,White Mountain city,0.343
AK,Whitestone CDP,0.06
AK,Whitestone Logging Camp CDP,#VALUE!
AK,Whittier city,0.112
AK,Willow CDP,0.134
AK,Willow Creek CDP,0
AK,Wiseman CDP,0
AK,Womens Bay CDP,0.138
AK,Wrangell city and borough,0.118
AK,Yakutat CDP,0.059
AZ,Aguila CDP,0.574
AZ,Ajo CDP,0.336
AZ,Ak Chin CDP,0.121
AZ,Ak-Chin Village CDP,0.545
AZ,Alamo Lake CDP,0
AZ,Ali Chuk CDP,0.732
AZ,Ali Chukson CDP,0.176
AZ,Ali Molina CDP,0.626
